AF3/theta,AF3/alpha,AF3/betaL,AF3/betaH,AF3/gamma,F7/theta,F7/alpha,F7/betaL,F7/betaH,F7/gamma,F3/theta,F3/alpha,F3/betaL,F3/betaH,F3/gamma,FC5/theta,FC5/alpha,FC5/betaL,FC5/betaH,FC5/gamma,T7/theta,T7/alpha,T7/betaL,T7/betaH,T7/gamma,P7/theta,P7/alpha,P7/betaL,P7/betaH,P7/gamma,O1/theta,O1/alpha,O1/betaL,O1/betaH,O1/gamma,O2/theta,O2/alpha,O2/betaL,O2/betaH,O2/gamma,P8/theta,P8/alpha,P8/betaL,P8/betaH,P8/gamma,T8/theta,T8/alpha,T8/betaL,T8/betaH,T8/gamma,FC6/theta,FC6/alpha,FC6/betaL,FC6/betaH,FC6/gamma,F4/theta,F4/alpha,F4/betaL,F4/betaH,F4/gamma,F8/theta,F8/alpha,F8/betaL,F8/betaH,F8/gamma,AF4/theta,AF4/alpha,AF4/betaL,AF4/betaH,AF4/gamma,direction
5.036,1.666,1.7,2.45,1.784,4.544,0.941,0.653,1.985,1.666,3.178,0.692,0.53,0.835,0.842,2.56,0.89,0.855,2.159,1.589,1.679,1.087,1.343,7.594,5.544,1.412,0.916,0.78,0.837,1.88,1.472,0.865,0.463,0.918,0.868,1.795,1.446,0.997,0.874,0.85,1.828,0.789,0.596,0.794,1.228,2.765,2.398,3.667,4.894,3.128,2.636,1.328,1.517,2.449,1.99,4.257,1.697,1.138,1.33,1.096,4.504,2.013,1.661,2.18,1.677,5.343,1.718,2.24,3.688,3.163,0
5.301,2.046,1.572,2.418,1.845,4.947,1.104,0.648,1.999,1.701,3.171,0.827,0.47,0.815,0.85,2.68,1.032,0.778,2.183,1.683,1.609,1.153,1.358,7.107,5.523,1.472,0.789,0.71,0.721,1.83,1.277,0.681,0.424,0.941,0.843,1.515,1.22,0.984,0.876,0.811,1.445,0.695,0.601,0.626,1.245,2.895,2.465,3.345,5.162,2.993,2.644,1.62,1.238,2.388,1.954,4.287,1.975,0.976,1.267,1.085,4.806,2.385,1.395,2.295,1.725,5.91,2.187,2.179,3.634,3.266,0
5.148,2.258,1.406,2.228,1.932,4.764,1.272,0.707,1.89,1.74,2.946,0.921,0.425,0.751,0.84,2.624,1.118,0.746,2.059,1.793,1.491,1.178,1.336,6.471,5.476,1.405,0.638,0.61,0.593,1.745,1.053,0.543,0.407,0.922,0.839,1.256,0.982,0.957,0.863,0.765,1.119,0.602,0.625,0.485,1.261,2.869,2.376,3.072,5.062,2.878,2.468,1.841,1.017,2.177,1.901,4.026,2.16,0.818,1.137,1.057,4.814,2.716,1.19,2.235,1.755,5.991,2.511,2.01,3.374,3.322,0
4.626,2.256,1.257,1.969,2.047,4.16,1.474,0.825,1.718,1.789,2.543,0.956,0.406,0.669,0.829,2.403,1.144,0.762,1.831,1.91,1.329,1.186,1.282,5.871,5.481,1.246,0.497,0.514,0.476,1.662,0.877,0.491,0.416,0.872,0.864,1.077,0.803,0.947,0.853,0.729,0.943,0.541,0.68,0.408,1.263,2.819,2.141,2.953,4.677,2.802,2.163,1.924,0.913,1.883,1.868,3.49,2.189,0.712,0.982,1.037,4.532,2.922,1.076,2.038,1.784,5.495,2.604,1.773,2.958,3.336,0
3.992,2.106,1.178,1.762,2.171,3.579,1.758,0.961,1.569,1.84,2.149,0.959,0.418,0.605,0.832,2.273,1.167,0.815,1.588,2.019,1.431,1.247,1.236,5.386,5.551,1.193,0.429,0.455,0.411,1.607,0.951,0.568,0.448,0.818,0.909,1.108,0.761,0.967,0.865,0.717,1.051,0.551,0.762,0.417,1.246,2.948,1.835,3.016,4.195,2.745,2.002,1.863,0.939,1.619,1.87,2.913,2.061,0.678,0.867,1.05,4.271,2.986,1.048,1.825,1.841,4.753,2.507,1.519,2.514,3.33,0
3.773,1.999,1.228,1.694,2.277,3.622,2.159,1.07,1.52,1.887,2.126,1.019,0.466,0.594,0.863,2.796,1.304,0.894,1.427,2.103,2.378,1.454,1.246,4.972,5.605,1.573,0.509,0.468,0.447,1.589,1.528,0.83,0.495,0.801,0.959,1.552,0.947,1.01,0.914,0.729,1.605,0.68,0.854,0.517,1.213,3.614,1.633,3.209,3.791,2.678,2.417,1.77,1.091,1.493,1.905,2.788,1.888,0.725,0.844,1.111,4.507,3.049,1.115,1.736,1.958,4.517,2.451,1.326,2.202,3.351,0
4.445,2.098,1.444,1.774,2.34,4.878,2.639,1.126,1.591,1.925,2.788,1.204,0.554,0.646,0.919,4.462,1.626,0.999,1.402,2.145,4.539,1.843,1.343,4.513,5.523,2.671,0.766,0.582,0.605,1.609,2.779,1.289,0.562,0.844,1.001,2.556,1.398,1.071,1.001,0.757,2.686,0.937,0.948,0.688,1.175,4.977,1.685,3.431,3.548,2.562,3.731,1.769,1.362,1.549,1.957,3.52,1.797,0.865,0.923,1.215,5.615,3.254,1.321,1.845,2.15,5.491,2.655,1.284,2.129,3.444,0
6.014,2.462,1.821,1.926,2.358,7.097,3.096,1.155,1.731,1.953,4.104,1.528,0.683,0.736,0.99,7.182,2.117,1.137,1.49,2.142,7.886,2.413,1.536,3.972,5.259,4.437,1.165,0.809,0.872,1.67,4.551,1.882,0.655,0.94,1.04,4.032,2.06,1.154,1.098,0.788,4.162,1.282,1.042,0.885,1.142,6.895,2.066,3.598,3.433,2.381,5.819,1.935,1.751,1.735,2.011,5.127,1.877,1.105,1.06,1.345,7.607,3.679,1.722,2.108,2.401,7.746,3.232,1.451,2.272,3.618,0
8.099,3.014,2.275,2.058,2.352,9.679,3.416,1.198,1.865,1.979,5.789,1.919,0.833,0.822,1.06,10.422,2.668,1.295,1.633,2.113,11.723,3.109,1.783,3.463,4.88,6.53,1.606,1.11,1.195,1.769,6.495,2.466,0.766,1.051,1.093,5.721,2.774,1.25,1.169,0.819,5.74,1.623,1.134,1.056,1.129,8.831,2.711,3.66,3.337,2.171,8.229,2.264,2.205,1.953,2.064,7.209,2.125,1.412,1.188,1.478,10.005,4.298,2.29,2.399,2.661,10.797,4.095,1.793,2.527,3.832,0
9.921,3.564,2.668,2.101,2.34,11.653,3.512,1.282,1.929,2.001,7.243,2.253,0.964,0.872,1.117,13.095,3.117,1.447,1.764,2.074,14.905,3.804,1.998,3.121,4.521,8.286,1.957,1.403,1.496,1.893,7.992,2.866,0.871,1.123,1.174,7.105,3.324,1.337,1.18,0.848,6.93,1.845,1.218,1.16,1.143,10.151,3.426,3.592,3.166,2.003,10.174,2.662,2.615,2.111,2.118,9.037,2.443,1.709,1.25,1.594,12.162,4.985,2.908,2.585,2.862,13.514,4.978,2.185,2.769,3.994,0
